FIPS,State,County,Health_Outcomes_Z-Score_2010,Health_Outcomes_Rank_2010,Health_Factors_Z-Score_2010,Health_Factors_Rank_2010,Mortality_Z-Score_2010,Mortality_Rank_2010,Morbidity_Z-Score_2010,Morbidity_Rank_2010,Health_Behaviors_Z-Score_2010,Health_Behaviors_Rank_2010,Clinical_Care_Z-Score_2010,Clinical_Care_Rank_2010,Social_and_Economic Factors_Z-Score_2010,Social_and_Economic Factors_Rank_2010,Physical_Environment_Z-Score_2010,Physical_Environment_Rank_2010,Smoking_Z-Score_2010,Smoking_Rank_2010,Diet_and_Exercise_Z-Score_2010,Diet_and_Exercise_Rank_2010,Alcohol_Use_Z-Score_2010,Alcohol_Use_Rank_2010,Unsafe_Sex_Z-Score_2010,Unsafe_Sex_Rank_2010,Access_to_Care_Z-Score_2010,Access_to_Care_Rank_2010,Quality_of_Care_Z-Score_2010,Quality_of_Care_Rank_2010,Education_Z-Score_2010,Education_Rank_2010,Employment_Z-Score_2010,Employment_Rank_2010,Income_Z-Score_2010,Income_Rank_2010,Family_and_Social_Support_Z-Score_2010,Family_and_Social_Support_Rank_2010,Community_Safety_Z-Score_2010,Community_Safety_Rank_2010,Air_Quality_Z-Score_2010,Air_Quality_Rank_2010,Built_Environment_Z-Score_2010,Built_Environment_Rank_2010,Premature_death_Deaths_2010,Premature_ death_Aggregate_Population_2010,Premature death_YPLL_Rate_2010,Premature_death_95%_CI_Low_2010,Premature_death_95%_CI_High_2010,Premature_death_Z-Score_2010,Poor_or_fair_health_Sample_Size_2010,Poor_or_fair_health_%_Fair/Poor_2010,Poor_or_fair_health__95%_CI_Low_2010,Poor_or_fair_health_95%_CI_High_2010,Poor_or_fair_health_Z-Score_2010,Poor_physical_health_days_Sample Size_2010,Poor_physical_health_days_Physically_Unhealthy_Days_2010,Poor_physical_health_days_95%_CI_Low_2010,Poor_physical_health_days_95%_CI_High_2010,Poor_physical_health_days_Z-Score_2010,Poor_mental_health_days_Sample_Size_2010,Poor_mental_health_days_Mentally_Unhealthy_Days_2010,Poor_mental_health_days_95%_CI_Low_2010,Poor_mental_health_days_95%_CI_High_2010,Poor_mental_health_days_Z-Score_2010,Low_birthweight_Sample_Size_2010,Low_birthweight_Percentage_LBW_2010,Low_birthweight_95%_CI_Low_2010,Low_birthweight_95%_CI_High_2010,Low_birthweight_Z-Score_2010,Adult_smoking_Sample_Size_2010,Adult_smoking_Percentage_Smokers_2010,Adult_smoking_95%_CI_Low_2010,Adult_smoking_95%_CI_High_2010,Adult_smoking_Z-Score_2010,Adult_obesity_Percentage_Obese_2010,Adult_obesity_95%_CI_Low_2010,Adult_obesity_95%_CI_High_2010,Adult_obesity_Z-Score_2010,Binge_drinking_Sample_Size_2010,Binge_drinking_Percentage_2010,Binge_drinking_95%_CI_Low_2010,Binge_drinking_95%_CI_High_2010,Binge_drinking_Z-Score_2010,Motor_vehicle_mortality_rate_2010,Motor_vehicle_95%_CI_Low_2010,Motor_vehicle_95%_CI_High_2010,Motor_vehicle_Z-Score_2010,Chlamydia_Cases_2010,Chlamydia_Population_2010,Chlamydia_Rate_per_100000_2010,Chlamydia_Z-Score_2010,Teen_Births_2010,Teen_Birth_Rate_2010,Teen_Birth_95%_CI_Low_2010,Teen_Birth_95%_CI_High_2010,Teen_Birth_Z-Score_2010,Uninsured_Adults_Percentage_2010,Uninsured_Adults_95%_CI_Low_2010,Uninsured_Adults_95%_CI_High_2010,Uninsured_Adults_Z-Score_2010,Primary_Care_Provider_Count_2010,Primary_Care_Provider_Rate_2010,Previous_Primary_Care_Population_2010,Previous_Primary_Care_Provider_Count_2010,Previous_Primary_Care_Provider_Rate_2010,Previous_Primary_Care_Z-Score_2010,Preventable_Hospital_Stays_Medicare_Enrollees_2010,Preventable_Hospital_Stays_ACSC_Rate_2010,Preventable_Hospital_Stays_95%_CI_Low_2010,Preventable_Hospital_Stays_95%_CI_High_2010,Preventable_Hospital_Stays_Z-Score_2010,Diabetic_Screening_Number_of_Diabetics_2010,Diabetic_Screening_Percentage_HbA1c_2010,Diabetic_Screening_95%_CI_Low_2010,Diabetic_Screening_95%_CI_High_2010,Diabetic_Screening_Z-Score_2010,Hospice_Use_Percentage_2010,Hospice_Use_95%_CI_Low_2010,Hospice_Use_95%_CI_High_2010,Hospice_Use_Z-Score_2010,High_School_Graduation_Enrollment_2010,High_School_Graduation_Diplomas_2010,High_School_Graduation_AFGR_2010,High_School_Graduation_Z-Score_2010,College_Degree_Percentage_2010,College_Degree_95%_CI_Low_2010,College_Degree_95%_CI_High_2010,College_Degree_Z-Score_2010,Unemployment_Percentage_2010,Unemployment_95%_CI_Low_2010,Unemployment_95%_CI_High_2010,Unemployment_Z-Score_2010,Children_in_Poverty_Percentage_2010,Children_in_Poverty_95%_CI_Low_2010,Children_in_Poverty_95%_CI_High_2010,Children_in_Poverty_Z-Score_2010,Income_Inequality_GINI_2010,Income_Inequality_Z-Score_2010,Social_Support_Sample_Size_2010,No_Social_Emotional_Support_Percentage_2010,No_Social_Emotional_Support_95%_CI_Low_2010,No_Social_Emotional_Support_95%_CI_High_2010,No_Social_Emotional_Support_95%_CI_High_2010,Single_Parent_Households_Percentage_2010,Single_Parent_Households_95%_CI_Low_2010,Single_Parent_Households_95%_CI_High_2010,Single_Parent_Households_Z-Score_2010,Violent_Crime_Aggregate_Population_2010,Violent_Crimes_Count_2010,Violent_Crime_Rate_2010,Violent_Crime_Z-Score_2010,Homicide_Rate_2010,Homicide_95%_CI_Low_2010,Homicide_95%_CI_High_2010,Homicide_95%_CI_High_2010,Air_Pollution_PM_Days_2010,Air_Pollution_PM_Z-Score_2010,Air_Pollution_Ozone_Days_2010,Air_Pollution_Ozone_Days_2010,Healthy_Food_Accessible_Zip_Codes_2010,Healthy_Food_Total_Zip_Codes_2010,Healthy_Food_Percentage_Access_2010,Healthy_Food_Access_Z-Score_2010,Liquor_Store_Population_2010,Liquor_Store_Count_2010,Liquor_Store_Rate_2010,Liquor_Store_Z-Score_2010
36021,New York,Columbia,0.45,45,-0.08,23,0.63,58,-0.17,16,0.00,27,0.01,31,-0.11,17,0.03,48,-0.10,10,0.06,46,0.04,55,-0.01,33,0.08,55,-0.07,12,0.07,53,-0.12,7,-0.02,27,-0.01,25,-0.03,13,-0.01,35,0.04,50,821,231437,6245,5597,6892,-0.07,282,16,11,22,0.28,281,3.1,2.2,3.9,-0.72,279,3.7,2.7,4.7,0.55,5424,8,7,9,0.78,283,22,16,28,-0.20,25,20,32,-0.09,283,24,18,31,2.42,14,11,17,0.16,103,82166,125,-0.65,497,22,20,24,-0.56,16,13,18,0.06,69,84,82166,81,99,-0.09,19281,94,89,98,0.90,921,85,83,88,0.61,20,16,24,-0.59,1134,853,75,-0.26,22,20,24,-0.25,7,6,7,1.07,17,14,20,-0.18,42,-0.06,177,15,11,22,-1.12,9,8,11,-0.09,246143,522,212,-0.35,,,,,4,0.65,0,-0.90,8,26,31,-0.57,82101,10,1.2,-0.12
36023,New York,Cortland,0.62,53,0.16,41,0.42,53,0.20,48,0.03,32,0.05,42,0.11,45,-0.03,19,0.12,56,-0.05,17,-0.04,9,-0.01,29,0.00,26,0.06,50,0.03,41,0.08,46,0.00,37,0.00,36,-0.01,33,-0.04,2,0.02,45,762,173229,7438,6592,8285,1.25,263,13,8,18,-0.62,256,3.5,2.0,4.9,-0.06,254,3.0,2.0,4.0,-0.55,4268,7,6,8,-0.25,263,18,13,24,-1.00,27,22,33,0.59,257,21,15,28,1.37,15,11,18,0.34,117,62955,186,-0.29,366,27,24,30,0.02,19,16,21,0.95,28,45,62955,46,73,-0.60,16968,73,69,77,-0.65,589,83,80,86,0.06,35,30,41,1.47,917,593,65,-1.88,29,26,31,0.50,5,5,5,-1.18,15,12,18,-0.48,45,0.62,167,20,14,28,-0.14,9,7,11,-0.15,187897,292,155,-0.70,,,,,2,-0.14,4,-0.17,10,33,30,-0.59,62590,11,1.8,0.85
36025,New York,Delaware,0.22,39,0.24,48,0.33,45,-0.12,19,0.02,31,0.13,58,0.07,36,0.02,42,0.01,39,-0.01,25,0.05,57,-0.03,17,0.08,57,0.05,48,0.00,31,0.03,40,0.05,51,0.01,45,-0.03,19,-0.04,2,0.06,59,519,136572,7065,6169,7960,0.84,174,18,12,25,0.85,172,3.5,2.3,4.6,-0.06,173,3.6,2.5,4.8,0.39,3795,8,7,8,0.42,177,29,21,38,1.21,25,19,31,-0.47,177,15,9,22,-0.61,9,6,12,-0.89,127,48483,262,0.16,362,21,19,23,-0.62,15,12,17,-0.28,31,64,48483,44,91,-0.25,11066,103,97,109,1.56,437,87,84,91,1.09,23,18,29,-0.19,641,464,72,-0.70,24,22,27,0.01,7,6,7,0.82,19,15,22,0.13,41,-0.45,99,,,,0.00,10,8,12,0.06,145222,358,247,-0.13,,,,,0,-0.93,1,-0.72,5,12,42,0.04,48444,8,1.7,0.66
36027,New York,Dutchess,-0.78,11,-0.46,10,-0.38,15,-0.40,11,-0.18,10,-0.03,22,-0.23,9,-0.01,24,-0.07,14,-0.05,14,-0.03,15,-0.03,9,0.00,29,-0.03,20,-0.05,11,-0.08,14,-0.09,6,-0.01,24,0.01,46,0.00,38,-0.02,23,613,127399,6911,6033,7788,0.67,224,14,9,20,-0.31,218,3.8,2.7,4.9,0.58,212,3.1,2.1,4.0,-0.47,3093,7,6,8,-0.49,221,23,17,31,0.11,25,20,32,-0.13,223,17,12,24,0.17,21,16,26,1.79,49,46977,104,-0.77,292,24,21,27,-0.31,20,17,23,1.26,28,60,46977,40,85,-0.36,14739,95,90,100,1.01,542,75,71,79,-1.91,38,32,45,1.84,732,586,80,0.48,20,18,22,-0.50,6,6,6,0.32,22,18,26,0.68,43,-0.01,142,,,,0.00,11,8,13,0.39,139664,261,187,-0.50,,,,,0,-0.93,1,-0.72,6,35,17,-1.32,46494,9,1.9,1.17
36029,New York,Erie,0.83,55,0.00,28,0.49,56,0.34,54,-0.01,26,-0.16,5,0.10,44,0.07,56,-0.08,13,0.06,45,-0.03,17,0.04,54,-0.10,6,-0.05,15,-0.01,29,-0.01,32,0.04,48,-0.01,23,0.08,56,0.09,58,-0.02,19,2697,824612,5617,5318,5917,-0.76,808,9,7,12,-1.62,786,3.0,2.5,3.5,-0.87,796,3.0,2.5,3.6,-0.54,22502,7,6,7,-0.49,808,19,16,23,-0.72,24,21,29,-0.51,801,14,11,18,-0.78,12,10,13,-0.25,599,295146,203,-0.19,1268,16,16,17,-1.16,16,14,18,0.09,266,91,295146,315,107,0.07,67763,72,70,74,-0.72,2610,83,82,84,0.00,23,21,26,-0.07,3876,3077,79,0.38,31,29,32,0.69,5,5,5,-0.80,12,10,13,-1.10,41,-0.45,496,20,16,26,-0.02,9,8,10,-0.36,876966,2555,291,0.15,,,,,2,-0.14,6,0.20,19,39,49,0.43,292202,34,1.2,-0.22
36031,New York,Essex,-0.71,13,0.03,31,-0.16,22,-0.55,4,-0.19,8,0.10,52,0.04,32,0.08,62,-0.08,12,-0.13,4,0.04,54,-0.02,21,0.09,58,0.01,36,-0.02,24,0.12,51,-0.01,31,-0.05,4,0.00,37,0.00,37,0.08,61,10648,2546633,7197,6997,7397,0.99,2715,14,12,16,-0.20,2653,4.0,3.5,4.4,0.76,2671,3.5,3.1,3.8,0.14,73247,8,8,9,1.34,2708,19,17,21,-0.78,27,24,30,0.55,2678,17,15,19,0.22,8,7,8,-1.23,4350,921390,472,1.41,6608,29,28,30,0.27,12,10,13,-1.14,1159,125,921390,1381,150,0.94,152562,64,63,65,-1.32,5125,82,81,83,-0.23,21,20,23,-0.33,11247,8478,75,-0.24,28,27,28,0.38,6,6,6,-0.05,19,18,21,0.27,46,0.90,1683,19,16,21,-0.42,10,9,10,0.03,2757337,14518,527,1.60,,,,,6,1.44,16,2.04,45,87,52,0.59,918339,105,1.1,-0.26
36033,New York,Franklin,0.59,50,0.32,50,0.17,40,0.42,55,-0.02,24,0.04,39,0.27,58,0.04,50,-0.06,15,0.03,37,0.01,37,0.00,38,0.01,31,0.03,43,0.06,49,0.16,58,0.03,45,0.01,44,0.01,47,0.02,46,0.02,47,429,105723,6021,5155,6888,-0.32,166,12,7,19,-0.80,162,2.7,1.6,3.7,-1.43,162,3.7,2.3,5.1,0.52,2516,6,5,6,-1.89,166,19,13,27,-0.81,23,18,29,-1.27,164,19,12,29,0.80,16,12,21,0.75,47,38649,122,-0.67,218,25,22,28,-0.17,20,17,23,1.29,19,50,38649,31,80,-0.46,11919,80,75,85,-0.13,475,83,79,86,-0.10,20,15,26,-0.52,432,343,79,0.38,24,21,27,-0.07,7,7,7,1.19,18,14,21,-0.04,41,-0.45,108,13,7,23,-1.56,8,6,11,-0.54,,,,0.00,,,,,0,-0.93,10,0.93,7,30,23,-0.98,38307,10,2.6,2.39
36035,New York,Fulton,0.53,47,0.48,55,0.35,48,0.18,46,0.19,54,0.04,36,0.27,57,-0.01,28,0.15,59,0.00,34,0.01,34,0.03,50,0.01,30,0.03,42,0.08,56,0.13,53,0.05,52,0.02,53,-0.02,25,-0.02,26,0.01,44,546,141575,6618,5803,7433,0.34,176,17,12,24,0.62,171,3.3,2.0,4.5,-0.42,172,3.8,2.4,5.3,0.74,3378,9,8,10,1.64,176,20,14,28,-0.61,26,21,33,0.30,173,16,9,24,-0.32,16,12,21,0.77,51,50968,100,-0.80,395,33,30,37,0.75,16,14,19,0.24,40,80,50968,55,108,0.10,13769,82,77,87,0.02,638,80,77,83,-0.73,20,16,26,-0.49,758,571,75,-0.25,16,14,17,-0.98,7,7,7,1.57,20,17,24,0.45,42,-0.12,114,20,12,31,-0.11,11,9,13,0.50,151292,450,297,0.18,,,,,2,-0.14,10,0.93,8,22,36,-0.26,50427,8,1.6,0.54
36037,New York,Genesee,-0.20,25,0.09,35,-0.11,25,-0.09,22,0.11,43,0.10,54,-0.09,20,-0.03,17,0.03,41,0.07,49,0.02,42,-0.02,23,0.03,40,0.08,56,0.01,33,-0.02,27,-0.06,9,0.01,47,-0.03,15,-0.02,26,-0.01,25,666,150833,6931,6163,7700,0.69,192,19,13,26,1.28,190,4.7,2.8,6.5,1.96,190,3.6,2.2,4.9,0.33,4181,6,6,7,-0.87,192,30,23,39,1.49,26,20,33,0.04,190,16,10,24,-0.20,15,11,19,0.52,103,55435,186,-0.29,497,39,36,43,1.41,14,12,16,-0.50,32,58,55435,40,72,-0.62,14616,87,82,92,0.41,518,84,80,87,0.16,20,16,25,-0.55,830,606,73,-0.60,15,13,17,-1.04,7,7,7,1.32,21,18,25,0.63,43,0.18,113,18,11,29,-0.52,13,10,15,1.34,165065,338,205,-0.39,,,,,2,-0.14,1,-0.72,3,7,43,0.10,54952,9,1.6,0.63
36039,New York,Greene,1.09,59,0.15,39,1.14,60,-0.05,29,0.00,28,-0.04,20,0.18,51,0.01,39,0.07,46,-0.05,17,0.00,28,-0.02,22,0.06,54,-0.10,4,0.12,62,0.02,38,0.02,41,0.01,42,0.02,49,-0.04,12,0.04,53,574,162643,6116,5371,6861,-0.21,233,15,10,21,0.05,227,4.1,2.7,5.5,0.95,228,3.9,2.4,5.3,0.78,4602,6,5,7,-1.35,232,24,18,32,0.35,27,22,34,0.72,232,16,11,24,-0.15,17,13,21,0.97,114,58830,194,-0.24,353,23,20,25,-0.46,15,13,18,-0.16,32,55,58830,40,68,-0.70,10413,95,89,100,0.97,395,82,78,86,-0.22,17,13,23,-0.87,917,738,80,0.54,17,15,19,-0.84,6,6,6,-0.18,15,12,18,-0.52,39,-1.03,146,22,15,32,0.42,10,8,12,0.06,175335,289,165,-0.64,,,,,2,-0.14,1,-0.72,6,17,35,-0.32,58418,5,0.9,-0.78
36041,New York,Hamilton,-0.62,16,-0.17,18,-0.57,10,-0.05,30,-0.07,19,0.06,45,-0.19,10,0.03,44,0.00,30,-0.06,10,0.02,41,-0.03,13,0.18,62,-0.12,2,-0.13,6,0.07,45,-0.03,20,-0.04,8,-0.06,2,-0.04,12,0.06,58,677,136030,8362,7419,9305,2.28,186,10,6,15,-1.43,186,4.0,2.5,5.5,0.83,185,2.8,1.8,3.7,-0.93,3115,8,7,9,0.50,187,26,19,35,0.67,25,19,31,-0.47,186,12,7,19,-1.43,19,14,23,1.31,81,49822,163,-0.43,253,24,21,27,-0.32,16,14,19,0.21,19,39,49822,28,56,-0.94,12905,70,65,74,-0.88,499,85,82,88,0.50,36,30,44,1.63,676,435,64,-1.92,20,17,23,-0.49,6,6,6,0.20,18,14,21,-0.01,45,0.65,117,,,,0.00,10,8,13,0.29,147608,492,333,0.41,,,,,0,-0.93,2,-0.54,10,36,28,-0.73,49292,9,1.8,0.97
36043,New York,Herkimer,0.29,41,0.17,43,0.35,49,-0.06,27,-0.02,25,0.17,62,0.09,40,-0.07,3,0.00,28,-0.05,17,0.03,53,0.00,36,0.08,56,0.09,57,0.05,44,0.04,41,-0.02,28,0.00,28,0.02,48,-0.03,18,-0.04,7,69,13961,5281,3520,7615,-1.14,36,,,,0.00,35,,,,0.00,35,,,,0.00,287,7,4,10,-0.24,36,,,,0.00,24,18,32,-0.60,33,,,,0.00,16,3,30,0.77,2,5162,39,-1.16,,,,,0.00,30,26,34,3.00,3,59,5162,4,77,-0.51,2145,65,54,76,-1.21,100,88,82,94,1.23,32,19,53,1.00,39,39,100,3.00,21,18,24,-0.39,6,6,7,0.69,15,12,18,-0.50,43,0.24,28,,,,0.00,6,5,7,-1.44,15302,11,72,-1.22,,,,,0,-0.93,2,-0.54,2,11,18,-1.26,5090,1,2.0,1.22
36045,New York,Jefferson,-0.03,29,0.75,61,0.05,33,-0.07,26,0.44,62,0.04,37,0.24,55,0.03,47,0.22,62,0.10,56,0.05,59,0.07,60,0.05,49,-0.01,28,0.06,50,0.13,53,0.03,43,0.02,50,0.00,37,0.02,44,0.01,42,710,172311,6935,6180,7690,0.70,222,13,9,18,-0.59,216,3.7,2.5,4.8,0.29,217,4.0,2.7,5.3,0.96,4722,7,6,7,-0.64,221,23,16,31,-0.02,25,19,31,-0.47,220,20,14,28,1.12,14,11,18,0.27,75,63332,118,-0.69,501,31,29,34,0.54,17,15,20,0.55,24,38,63332,33,52,-1.02,16726,100,95,105,1.35,598,86,83,89,0.69,12,9,16,-1.56,890,677,76,-0.13,18,16,19,-0.77,6,6,7,0.45,18,15,21,0.01,40,-0.83,131,,,,0.00,9,7,11,-0.11,188081,621,330,0.39,,,,,1,-0.54,1,-0.72,9,17,53,0.66,62566,5,0.8,-0.88
36047,New York,Kings,0.98,58,0.35,51,0.39,52,0.59,60,-0.16,12,0.08,49,0.43,61,0.00,35,-0.12,7,-0.04,22,-0.08,1,0.08,61,-0.03,16,0.11,58,-0.02,20,0.01,35,0.24,60,0.09,61,0.11,58,0.05,54,-0.06,4,1075,327143,6393,5899,6888,0.10,405,14,11,18,-0.27,399,3.9,3.0,4.8,0.60,398,3.4,2.6,4.3,0.11,11647,7,6,7,-0.58,405,33,27,40,2.15,28,23,34,1.02,402,23,17,29,1.96,14,11,16,0.11,472,114264,413,1.06,1130,44,41,46,1.93,17,14,20,0.49,72,62,114264,90,79,-0.49,24142,82,78,85,0.02,1135,86,84,88,0.77,22,18,26,-0.29,1452,1061,73,-0.59,18,17,20,-0.67,7,7,7,1.32,20,17,23,0.36,43,0.05,261,18,11,28,-0.56,12,11,14,1.18,,,,0.00,,,,,2,-0.14,9,0.75,12,41,29,-0.65,117162,14,1.2,-0.17
36049,New York,Lewis,-0.40,19,0.22,47,0.11,38,-0.50,8,0.12,49,0.01,32,0.12,47,-0.04,12,0.01,35,0.08,51,0.06,60,-0.02,24,0.04,46,-0.03,23,0.01,32,0.12,51,0.06,53,-0.03,15,-0.04,12,-0.02,26,-0.02,21,24306,7091909,7009,6897,7121,0.78,3468,22,20,23,2.03,3347,3.7,3.4,4.0,0.33,3384,3.5,3.2,3.8,0.26,278735,9,8,9,1.66,3473,17,15,18,-1.24,25,22,27,-0.38,3420,12,11,14,-1.40,6,5,6,-1.66,15655,2508820,624,2.32,21503,35,35,36,0.96,16,14,17,0.00,3050,121,2508820,3375,135,0.63,328666,88,87,89,0.47,12479,76,75,77,-1.72,10,10,11,-1.78,,,,0.00,27,27,28,0.34,6,6,6,0.07,32,30,33,2.46,50,2.05,1907,30,27,33,2.05,13,13,13,1.41,7562505,48107,636,2.28,,,,,6,1.44,9,0.75,38,52,73,1.77,2523047,257,1.0,-0.48
36051,New York,Livingston,-1.14,4,-0.14,20,-0.49,12,-0.64,2,0.04,34,-0.03,23,-0.14,12,-0.01,27,-0.04,21,0.08,53,0.05,58,-0.05,4,0.00,28,-0.03,22,-0.02,22,0.02,38,-0.08,7,-0.02,17,-0.05,9,-0.03,18,0.02,49,283,73432,6501,5382,7619,0.21,135,16,10,25,0.53,130,2.4,1.4,3.5,-1.80,132,2.5,1.3,3.6,-1.39,2273,6,5,7,-1.19,135,23,15,33,0.05,27,21,35,0.76,134,,,,0.00,23,16,30,2.31,32,26685,120,-0.68,193,27,23,31,0.05,18,15,21,0.64,15,57,26685,26,97,-0.11,6397,82,75,89,0.03,279,84,80,89,0.31,30,23,41,0.83,430,357,83,0.93,14,12,17,-1.11,7,6,7,1.19,23,19,27,0.98,40,-0.70,87,,,,0.00,7,5,9,-1.03,79122,119,150,-0.73,,,,,2,-0.14,1,-0.72,4,17,24,-0.97,26413,1,0.4,-1.64
36053,New York,Madison,-0.24,23,-0.08,25,-0.27,19,0.03,34,0.12,47,-0.03,21,-0.13,14,-0.04,11,0.09,49,0.04,40,0.03,45,-0.03,11,-0.03,19,-0.01,31,-0.02,16,-0.01,32,-0.05,14,0.00,37,-0.05,5,-0.04,12,0.00,31,575,179851,5419,4779,6059,-0.98,210,11,8,16,-1.01,209,3.3,2.1,4.5,-0.38,208,2.2,1.4,3.0,-1.81,4509,6,5,6,-1.62,210,21,14,29,-0.40,28,22,35,0.81,208,20,13,31,1.17,17,13,20,0.79,95,64173,148,-0.51,304,13,12,15,-1.54,14,12,17,-0.43,36,57,64173,52,81,-0.44,9176,83,77,89,0.09,280,83,78,87,-0.02,35,28,43,1.39,860,691,80,0.52,23,21,24,-0.21,6,6,6,0.20,14,11,16,-0.71,39,-0.86,126,,,,0.00,8,6,9,-0.81,190144,218,115,-0.95,,,,,1,-0.54,1,-0.72,8,23,35,-0.35,63353,10,1.6,0.53
36055,New York,Monroe,0.04,31,-0.19,17,-0.08,26,0.12,42,0.04,36,-0.26,1,0.00,29,0.03,49,-0.02,23,0.03,39,-0.03,16,0.06,58,-0.14,2,-0.11,3,-0.04,13,-0.04,20,0.03,42,0.01,46,0.04,52,0.06,55,-0.03,17,699,196366,5818,5198,6437,-0.54,219,14,10,20,-0.19,213,3.5,2.3,4.7,-0.01,215,3.7,2.3,5.1,0.53,5170,7,6,8,0.00,219,27,19,36,0.87,27,21,34,0.42,217,17,11,25,0.23,16,13,20,0.77,117,70197,167,-0.40,475,19,18,21,-0.83,15,12,17,-0.28,51,73,70197,81,115,0.25,18459,73,69,77,-0.66,790,82,79,84,-0.31,19,15,23,-0.69,967,778,80,0.54,24,22,26,-0.05,6,6,6,-0.05,15,12,17,-0.57,42,-0.28,140,,,,0.00,10,8,12,0.16,209156,211,101,-1.04,,,,,0,-0.93,2,-0.54,8,24,33,-0.43,69732,7,1.0,-0.51
36057,New York,Montgomery,0.04,32,0.55,57,0.38,51,-0.35,12,0.32,59,-0.04,18,0.29,60,-0.01,26,0.14,58,0.15,59,-0.02,21,0.04,55,-0.02,21,-0.02,24,0.12,60,0.17,60,-0.02,29,0.02,52,0.00,37,-0.02,26,0.01,39,6814,2042446,6154,5949,6360,-0.17,2256,15,13,17,0.08,2212,3.5,3.1,3.9,0.02,2211,3.2,2.8,3.6,-0.25,62262,8,8,8,0.68,2251,22,19,24,-0.24,26,23,30,0.34,2235,16,14,19,-0.04,9,8,10,-0.98,4224,730807,578,2.04,5676,29,29,30,0.29,11,10,13,-1.33,1152,157,730807,1320,181,1.55,85768,66,64,67,-1.17,2437,85,84,87,0.59,36,34,39,1.63,9914,7456,75,-0.26,33,32,34,0.99,6,6,6,-0.43,19,17,20,0.15,45,0.57,1406,20,18,23,-0.05,11,10,11,0.47,2190646,8740,399,0.81,,,,,7,1.84,7,0.38,32,66,48,0.41,729921,69,0.9,-0.62
36059,New York,Nassau,-1.05,6,-1.13,1,-0.88,1,-0.17,17,-0.46,3,-0.14,7,-0.53,2,0.00,32,-0.16,5,-0.20,3,-0.05,7,-0.05,5,-0.13,4,-0.01,29,-0.19,1,-0.14,4,-0.14,4,-0.03,10,-0.02,21,0.01,42,-0.01,26,568,130970,6996,6158,7834,0.76,185,11,8,17,-0.96,179,2.8,1.9,3.8,-1.11,179,3.1,1.8,4.4,-0.47,4197,7,6,8,-0.45,185,30,21,40,1.42,29,23,37,1.49,185,13,8,20,-1.08,15,11,19,0.43,73,49112,149,-0.51,499,46,42,50,2.19,13,11,16,-0.71,32,66,49112,43,88,-0.31,14722,75,70,79,-0.51,533,82,79,85,-0.18,24,20,29,0.00,704,488,69,-1.16,14,13,16,-1.15,7,7,8,1.69,17,14,21,-0.06,41,-0.53,113,,,,0.00,11,9,13,0.72,,,,0.00,,,,,2,-0.14,1,-0.72,4,16,25,-0.89,48809,5,1.0,-0.47
36061,New York,New York,0.01,30,-0.48,9,-0.46,13,0.46,57,-0.51,2,-0.13,9,0.08,39,0.08,59,-0.12,8,-0.43,1,-0.02,18,0.07,59,-0.17,1,0.04,44,-0.18,2,-0.12,7,0.25,61,0.00,38,0.11,62,0.04,50,0.04,55,10517,3659560,4710,4577,4843,-1.77,2570,13,11,15,-0.53,2517,3.0,2.6,3.3,-0.90,2533,2.6,2.3,2.9,-1.24,111747,8,7,8,0.50,2562,15,13,17,-1.60,21,19,24,-2.00,2542,13,11,15,-1.07,9,8,9,-1.02,2419,1325662,183,-0.31,3783,12,12,13,-1.64,15,14,16,-0.16,2816,208,1325662,2935,221,2.37,317144,73,72,74,-0.66,9452,80,80,81,-0.61,21,20,23,-0.34,16584,14974,90,2.04,40,39,41,1.75,5,5,5,-1.43,6,5,6,-2.14,45,0.71,1550,22,19,25,0.35,6,5,6,-1.62,3940577,7468,190,-0.49,,,,,4,0.65,3,-0.35,60,106,57,0.86,1312756,200,1.5,0.43
36063,New York,Niagara,0.96,57,0.40,54,0.46,55,0.50,59,0.14,52,0.02,34,0.16,49,0.08,61,0.07,47,0.04,40,0.00,30,0.02,47,-0.03,17,0.05,46,0.02,34,0.13,53,-0.01,32,-0.02,20,0.04,53,0.12,62,-0.03,11,13985,4521347,5482,5359,5605,-0.91,3788,20,18,21,1.45,3685,3.6,3.3,3.9,0.14,3682,3.6,3.3,3.9,0.34,142147,8,8,8,1.36,3785,17,15,19,-1.23,15,14,17,-4.33,3742,20,18,22,1.04,4,4,5,-2.02,9605,1611581,596,2.15,8997,33,33,34,0.76,17,15,19,0.40,4553,283,1611581,4763,296,3.86,281298,70,69,71,-0.88,8054,72,71,73,-2.62,17,16,18,-0.89,,,,0.00,56,55,57,3.58,5,5,5,-1.18,28,26,30,1.77,60,4.82,2224,26,24,29,1.24,7,7,7,-1.06,4839772,30902,639,2.30,,,,,7,1.84,3,-0.35,43,164,26,-0.82,1612630,295,1.8,0.98
